4.97,3.35,1.89,0.4
5.18,3.54,1.08,0.43
4.57,3.65,1.33,0.84
4.61,3.35,1.11,0.81
4.8,3.45,1.42,0.54
5.68,3.94,1.36,0.55
4.99,3.76,1.74,0.78
4.05,3.19,1.03,0.24
5.68,2.45,1.88,0.13
5.09,3.19,1.95,0.8
5.48,2.47,1.36,0.13
4.9,3.16,1.24,0.11
5.38,2.84,1.74,0.84
5.95,3.31,1.14,0.06
5.01,3.22,1.94,0.12
5.05,2.36,1.75,0.07
4.55,3.08,1.1,0.68
4.96,2.05,1.76,0.58
5.18,2.06,1.37,0.29
4.41,3.53,1.51,0.79
4.16,2.17,1.18,0.05
4.29,3.24,1.99,0.19
5.7,3.07,1.8,0.69
4.16,3.56,1.42,0.58
5.73,3.71,1.93,0.5
5.35,3.58,1.15,0.97
5.71,3.02,1.12,0.2
4.26,2.71,1.11,0.61
4.71,3.52,1.71,0.53
4.4,3.71,1.49,0.58
4.97,2.32,1.95,0.32
4.5,3.75,1.96,0.12
4.53,3.6,1.45,0.58
4.34,2.93,1.84,0.43
5.43,2.32,1.06,0.13
4.34,2.8,1.73,0.02
5.04,3.02,1.81,0.83
5.02,3.25,1.54,0.27
5.38,3.09,1.86,0.21
4.49,2.71,1.85,0.99
4.56,3.89,1.32,0.1
4.64,3.94,1.71,0.4
4.98,2.72,1.82,0.47
5.97,3.83,1.07,0.22
4.96,2.26,1.34,0.21
5.64,3.0,1.63,0.96
4.16,3.45,1.65,0.91
4.09,2.51,1.94,0.92
4.77,3.28,1.26,0.64
4.23,3.79,1.5,0.48
